Label_Value,Code
Melancholy,1015651
Affective disorders,798861
Older people--Psychology,1199124
Workshops,1180699
Philosophy,1060777
"Figure sculpture, Croatian",924092
Lichens,998091
Rare fungi,1090167
Rare plants,1090176
Airplanes--Refueling,803446
Corynebacterium,880468
Ammonia,807737
Alkalies,805386
Nitrogen compounds,1038065
Epigrams,914131
Poetry,1067691
Wit and humor,1176279
Radar,1086712
Latin literature,993331
"Latin literature, Medieval and modern",993349
Molecular diagnosis,1024777
Information storage and retrieval systems--Finance,972873
Programming languages (Electronic computers),1078704
Income tax--Foreign income,968739
Developmentally disabled children,891913
Miridae,1023567
Catholic Church and Zionism,849122
Zionism,1184468
Mathematics,1012163
Dogri fiction,896256
Dogri literature,896257
Nonverbal communication,1039009
Signals and signaling,1118311
American literature,807113
Ukrainian literature,1160526
Nineteen eighties,1037781
Dynamic testing,900293
Testing,1148240
Plum,1067297
Electric conductivity,904584
Transport theory,1154987
Free electron theory of metals,933862
Salishan Indians,1104042
Automobiles--Motors--Carburetors,823616
Sundanese fiction,1138597
Sundanese literature,1138613
Adult education,797275
Elementary education of adults,907873
Saltcellars,1104321
Tableware,1141783
Achinese literature,795698
Temperature--Physiological effect,1147339
"Mythology, Classical",1031758
Paradise,1198510
Tuberculosis--Prevention,1158530
Soil consolidation,1124345
Soil mechanics,1124463
Soil moisture,1124492
Soils--Creep,1124716
Eremothecium,914647
Spermophthoraceae,1129590
Caving,849926
Mountaineering,1028334
Evaporation,917073
Feeds,922480
Histology,957668
Complexes (Psychology),871598
"Psychology, Pathological",1081609
Indan,968856
Indene,968869
French poetry,934799
Cargo handling,847377
Strategy--Data processing,1134408
"Geometry, Differential",940919
Curves,885441
Neurologic manifestations of general diseases,1036376
Reflexes,1092516
Sheet-metal work,1115598
Drawing (Metal-work),897760
Metals--Cold working,1018062
Archives,814030
Quiché Indians,1085724
Dietary supplements,893336
Microorganisms,1019928
Naval offenses,1035021
Crime,882984
Christianity,859599
Religions,1093898
Hindi language,956878
"Wood sculpture, Mexican",1744821
Motion pictures,1027285
Conic sections,875241
"Curves, Plane",885462
"Geometry, Plane",940930
Buthidae,843071
Social sciences,1122877
Ethnology--Philosophy,916143
Social systems,1123410
Pests--Control,1059126
Dodge trucks,896168
Sport utility vehicles,1130401
High performance computing,956032
Electronic data processing,906956
Cattle breeds,849710
Management,1007141
Criminal law,883328
Halba literature,2010546
Sexual animosity,1114798
Hostility (Psychology),961639
Sex (Psychology),1114228
Islamic sects,980055
Periodicals,1058072
Mortality,1026502
